feature,cohens_d,abs_d,effect
gp_ratio,0.9389085529425958,0.9389085529425958,Large
cfo,-0.9145669135370078,0.9145669135370078,Large
dias_efectivo,-0.7626532625030754,0.7626532625030754,Medium
endeudamiento,0.6979068175717767,0.6979068175717767,Medium
liquidez,-0.5576068897413832,0.5576068897413832,Medium
hhi_fuentes,0.46135052821123346,0.46135052821123346,Small
participacion_servicios,-0.3137107735337194,0.3137107735337194,Small
tendencia_ingresos,0.3068631068653562,0.3068631068653562,Small
participacion_matriculas,-0.2499004134992492,0.2499004134992492,Small
gastos_personal,0.18684884430899693,0.18684884430899693,Negligible
participacion_regalias,-0.1047940745425861,0.1047940745425861,Negligible
participacion_ley30,-0.06378037175184499,0.06378037175184499,Negligible
ingresos_totales,0.04112310842336957,0.04112310842336957,Negligible
