Survived,Pclass,Age,SibSp,Parch,Fare,HasCabin,Embarked_C,Embarked_Q,Embarked_S,Sex_LabelEnc,Fare_log
0,3,22.0,1,0,7.25,0,0,0,1,1,2.1102132003465894
1,3,26.0,0,0,7.925,0,0,0,1,0,2.188856327665703
1,1,35.0,1,0,53.1,1,0,0,1,0,3.9908341858524357
0,3,35.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,1,54.0,0,0,51.8625,1,0,0,1,1,3.967694202798607
0,3,2.0,3,1,21.075,0,0,0,1,1,3.0944457464900235
1,3,27.0,0,2,11.1333,0,0,0,1,0,2.495953738718064
1,2,14.0,1,0,30.0708,0,1,0,0,0,3.436268471383741
1,3,4.0,1,1,16.7,1,0,0,1,0,2.8735646395797834
1,1,58.0,0,0,26.55,1,0,0,1,0,3.3160025355989236
0,3,20.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,39.0,1,5,31.275,0,0,0,1,1,3.4742929367327062
0,3,14.0,0,0,7.8542,0,0,0,1,0,2.180891922715322
1,2,55.0,0,0,16.0,0,0,0,1,0,2.833213344056216
0,3,2.0,4,1,29.125,0,0,1,0,1,3.405355391810819
0,3,31.0,1,0,18.0,0,0,0,1,0,2.9444389791664403
0,2,35.0,0,0,26.0,0,0,0,1,1,3.295836866004329
1,2,34.0,0,0,13.0,1,0,0,1,1,2.6390573296152584
1,3,15.0,0,0,8.0292,0,0,1,0,0,2.2004637699272855
1,1,28.0,0,0,35.5,1,0,0,1,1,3.597312260588446
0,3,8.0,3,1,21.075,0,0,0,1,0,3.0944457464900235
1,3,38.0,1,5,31.3875,0,0,0,1,0,3.4777725458882283
0,1,40.0,0,0,27.7208,0,1,0,0,1,3.357621598945279
0,1,42.0,1,0,52.0,0,0,0,1,1,3.970291913552122
0,3,21.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,18.0,2,0,18.0,0,0,0,1,0,2.9444389791664403
1,3,14.0,1,0,11.2417,0,1,0,0,0,2.5048481563289
0,3,40.0,1,0,9.475,0,0,0,1,0,2.348991465808201
0,2,27.0,1,0,21.0,0,0,0,1,0,3.091042453358316
1,2,3.0,1,2,41.5792,0,1,0,0,0,3.7513658711253766
1,3,19.0,0,0,7.8792,0,0,1,0,0,2.1837114628556327
0,3,18.0,1,0,17.8,0,0,0,1,0,2.9338568698359038
0,3,7.0,4,1,39.6875,0,0,0,1,1,3.705920919968788
0,3,21.0,0,0,7.8,0,0,0,1,1,2.174751721484161
1,2,29.0,1,0,26.0,0,0,0,1,0,3.295836866004329
1,2,21.0,0,0,10.5,0,0,0,1,0,2.4423470353692043
0,3,28.5,0,0,7.2292,0,1,0,0,1,2.1076888046179385
1,2,5.0,1,2,27.75,0,0,0,1,0,3.3586377672433594
0,3,11.0,5,2,46.9,0,0,0,1,1,3.8691155044168695
0,3,22.0,0,0,7.2292,0,1,0,0,1,2.1076888046179385
0,3,4.0,3,2,27.9,0,0,0,1,1,3.3638415951183864
1,2,29.0,0,0,10.5,1,0,0,1,0,2.4423470353692043
0,3,19.0,0,0,8.1583,0,0,0,1,1,2.2146605719425225
1,3,17.0,4,2,7.925,0,0,0,1,0,2.188856327665703
0,3,26.0,2,0,8.6625,0,0,0,1,1,2.2682524139135403
0,2,32.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
0,3,16.0,5,2,46.9,0,0,0,1,0,3.8691155044168695
0,3,26.0,1,0,14.4542,0,1,0,0,1,2.737880811060884
1,3,32.0,0,0,56.4958,0,0,0,1,1,4.05171190165724
0,3,25.0,0,0,7.65,1,0,0,1,1,2.157559320943788
1,2,0.83,0,2,29.0,0,0,0,1,1,3.4011973816621555
1,3,30.0,0,0,12.475,0,0,0,1,0,2.600836116795061
0,3,22.0,0,0,9.0,0,0,0,1,1,2.302585092994046
1,3,29.0,0,0,9.5,0,0,0,1,1,2.3513752571634776
0,1,28.0,0,0,47.1,0,0,0,1,1,3.8732821771117156
1,2,17.0,0,0,10.5,0,0,0,1,0,2.4423470353692043
1,3,33.0,3,0,15.85,0,0,0,1,0,2.8243506567983707
0,3,16.0,1,3,34.375,0,0,0,1,1,3.5660053559634015
0,3,24.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,29.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,20.0,0,0,7.8542,0,0,0,1,1,2.180891922715322
0,1,46.0,1,0,61.175,1,0,0,1,1,4.1299529896894684
0,3,26.0,1,2,20.575,0,0,0,1,1,3.0715352369694915
0,3,59.0,0,0,7.25,0,0,0,1,1,2.1102132003465894
1,1,23.0,0,1,63.3583,1,1,0,0,1,4.164465907853638
1,2,34.0,0,1,23.0,0,0,0,1,0,3.1780538303479458
0,2,34.0,1,0,26.0,0,0,0,1,1,3.295836866004329
0,3,28.0,0,0,7.8958,0,0,0,1,0,2.1855792552411137
0,3,33.0,0,0,8.6542,0,0,0,1,1,2.267393053825037
