eps,min_samples,n_clusters,n_noise,silhouette
1.0989,3,0,80,-1.0
1.6484,3,0,80,-1.0
2.1979,3,3,67,0.2901
2.7473,3,2,39,0.2136
3.2968,3,1,14,-1.0
4.3957,3,1,0,-1.0
2.4385,4,1,72,-1.0
3.6578,4,1,6,-1.0
4.877,4,1,0,-1.0
6.0963,4,1,0,-1.0
7.3156,4,1,0,-1.0
9.7541,4,1,0,-1.0
2.5456,5,1,67,-1.0
3.8184,5,1,6,-1.0
5.0912,5,1,0,-1.0
6.364,5,1,0,-1.0
7.6368,5,1,0,-1.0
10.1824,5,1,0,-1.0
2.8275,7,1,59,-1.0
4.2413,7,1,2,-1.0
5.6551,7,1,0,-1.0
7.0689,7,1,0,-1.0
8.4826,7,1,0,-1.0
11.3102,7,1,0,-1.0
2.5039,10,1,70,-1.0
3.7559,10,1,8,-1.0
5.0079,10,1,0,-1.0
6.2598,10,1,0,-1.0
7.5118,10,1,0,-1.0
10.0157,10,1,0,-1.0
