roc_auc,pr_auc,brier,log_loss,precision,recall,f1,tn,fp,fn,tp,n,prevalence,predicts_both,year,threshold,model,split
0.7142857142857143,0.3333333333333333,0.39197899708707595,1.0340118094780077,0.25,1.0,0.4,4,3,0,1,8,0.125,1,2019,0.6759009415678744,1_LogisticRegression_L2,test
1.0,1.0,0.1750995637183828,0.5342995077834553,0.6666666666666666,1.0,0.8,5,1,0,2,8,0.25,1,2020,0.4947565644300388,1_LogisticRegression_L2,test
0.8666666666666667,0.9266666666666666,0.19503081002818123,0.5749104120140013,1.0,0.6,0.75,3,0,2,3,8,0.625,1,2021,0.5155552197602041,1_LogisticRegression_L2,test
0.9166666666666667,0.8333333333333333,0.16492045471424496,0.5082356101323326,1.0,0.5,0.6666666666666666,6,0,1,1,8,0.25,1,2022,0.5581201434754193,1_LogisticRegression_L2,test
1.0,1.0,0.1753704957162951,0.5195782462210381,1.0,0.6,0.75,3,0,2,3,8,0.625,1,2023,0.504689604409836,1_LogisticRegression_L2,test
0.75,0.9305555555555556,0.2189658189795594,0.6204816467507405,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1,1,5,8,0.75,1,2024,0.42720785953006557,1_LogisticRegression_L2,test
1.0,1.0,0.07082883943370132,0.2868877048899135,1.0,1.0,1.0,2,0,0,6,8,0.75,1,2025,0.47602558291361796,1_LogisticRegression_L2,test
1.0,1.0,0.09820509592618772,0.36229213941307603,1.0,1.0,1.0,6,0,0,10,16,0.625,1,2019,,1_LogisticRegression_L2,train
0.993006993006993,0.9924242424242424,0.12525972463467033,0.4267500857511133,0.9166666666666666,1.0,0.9565217391304348,12,1,0,11,24,0.4583333333333333,1,2020,,1_LogisticRegression_L2,train
0.9919028340080972,0.9897435897435898,0.1132370786295355,0.3925448484444532,1.0,0.9230769230769231,0.96,19,0,1,12,32,0.40625,1,2021,,1_LogisticRegression_L2,train
0.9772727272727272,0.9724004163955146,0.11061730828061653,0.3849732582276955,0.9444444444444444,0.9444444444444444,0.9444444444444444,21,1,1,17,40,0.45,1,2022,,1_LogisticRegression_L2,train
0.9732142857142858,0.9598245117885211,0.10876679390642326,0.37553762538613583,0.9047619047619048,0.95,0.926829268292683,26,2,1,19,48,0.4166666666666667,1,2023,,1_LogisticRegression_L2,train
0.9754838709677419,0.9677910073235421,0.1053784398091621,0.36665177008213756,0.8928571428571429,1.0,0.9433962264150944,28,3,0,25,56,0.44642857142857145,1,2024,,1_LogisticRegression_L2,train
0.9550342130987293,0.947987555368017,0.11170779585241103,0.38000849515307433,0.8787878787878788,0.9354838709677419,0.90625,29,4,2,29,64,0.484375,1,2025,,1_LogisticRegression_L2,train
0.2857142857142857,0.16666666666666666,0.4624545753688042,1.3470592029353605,0.0,0.0,0.0,3,4,1,0,8,0.125,1,2019,0.7,2_ElasticNet_Logistic,test
0.9166666666666667,0.8333333333333333,0.17450497192879375,0.5230919583259983,1.0,0.5,0.6666666666666666,6,0,1,1,8,0.25,1,2020,0.5664599670939579,2_ElasticNet_Logistic,test
0.6000000000000001,0.7961904761904761,0.23665562464560513,0.6528780609391769,0.6,0.6,0.6,1,2,2,3,8,0.625,1,2021,0.47968163463396774,2_ElasticNet_Logistic,test
0.75,0.7,0.1847507091940639,0.5437814702324963,0.25,0.5,0.3333333333333333,3,3,1,1,8,0.25,1,2022,0.40746427514167755,2_ElasticNet_Logistic,test
